idiom_id,idiom_canonical,idiom_surface,example,idiom_canonical_meaning,source,source_type,pos,tags,idiom_confidence,source_url,record_origin,license_source,example_language,meaning_language,idiom_domain,idiom_register,slang_strength,regionality,generation_notes
syn_38dcd105efe2f455,scroll rabbit hole,scroll rabbit hole,,"to endlessly browse through social media content, losing track of time",llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,Combines 'scroll' with 'rabbit hole' to depict deep social media immersion.
syn_ecb4cfa22106602f,hashtag hustle,hashtag hustle,,actively promoting oneself or content using trending hashtags,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,slang,medium,online_global,Refers to the effort in maximizing reach via hashtags.
syn_4af7a612eec4eb73,meme artillery,meme artillery,,a collection of memes used to boost online presence or win an argument,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,slang,medium,online_global,Figurative for powerful meme usage like ammunition.
syn_5d79f71fc4b1f2d7,filter bubble pop,filter bubble pop,,breaking out of one's algorithmically curated content zone,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,weak,general_english,Refers to moving beyond personalized content feeds.
syn_f4c19d765138cf41,ghost follow spree,ghost follow spree,,mass following accounts without expecting engagement,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,slang,medium,online_global,Describes superficial social media following.
syn_874ce9d8143f30c2,viral vortex,viral vortex,,a rapidly spreading piece of content that traps user attention,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,Metaphorical for viral content drawing users in.
syn_a85a969e689031cb,dm deep dive,dm deep dive,,intense private messaging conversations,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Refers to long or serious chats in direct messages.
syn_1e7088f316658197,cancel culture wave,cancel culture wave,,the spread of online backlash resulting in ostracism,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,none,general_english,Figurative for the social media phenomenon of canceling.
syn_976a957205158aea,emoji overload,emoji overload,,using excessive emojis to express emotions digitally,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Describes exaggerated emoji use.
syn_c5779c7516274628,clickbait chain,clickbait chain,,a sequence of enticing but misleading online links,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,none,general_english,Figurative for one clickbait leading to another.
