idiom_id,idiom_canonical,idiom_surface,example,idiom_canonical_meaning,source,source_type,pos,tags,idiom_confidence,source_url,record_origin,license_source,example_language,meaning_language
syn_0b10727ea33c8a02,dodge the burnout,dodge the burnout,,To take steps to avoid becoming exhausted or overwhelmed at work,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_ca1cf17031e0e3a3,coffee run casualty,coffee run casualty,,Someone who suffers or falls behind because of taking breaks or errands during work hours,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_0540dac5bb10ee0d,hit the brainstorm,hit the brainstorm,,To suddenly come up with a creative idea or solution at work,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_0b3d921294a334eb,juggle the staple,juggle the staple,,To manage multiple small yet essential tasks simultaneously,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_0c3cd5c709ab5a81,skip the whiteboard,skip the whiteboard,,To avoid brainstorming or planning sessions in favor of quick decisions,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_d97e0c4e98615588,keytap the inbox,keytap the inbox,,To quickly scan through emails without giving them full attention,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_40ab54a4681e0f0e,calendar creep,calendar creep,,When meetings and commitments slowly consume someone's available time,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_e2be2c7c095ad06b,ping pong politics,ping pong politics,,Endless back-and-forth communication causing delays or indecision,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_b64f85a92e4b5ca8,ghost the project,ghost the project,,To disappear or stop contributing to a project without notice,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_dc755f9b868bf681,coffee clutch crisis,coffee clutch crisis,,A critical discussion or gossip session that happens over coffee breaks affecting workplace dynamics,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
