idiom_id,idiom_canonical,idiom_surface,example,idiom_canonical_meaning,source,source_type,pos,tags,idiom_confidence,source_url,record_origin,license_source,example_language,meaning_language
syn_35b5dee22b107492,chase the whisper,chase the whisper,,Pursue vague or elusive information or hopes,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_e042ce2bc885270c,carry ghost weight,carry ghost weight,,To be burdened by unseen or past troubles,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_dbc44e4c01d5a7ff,spill moonlight,spill moonlight,,To reveal secrets or intimate thoughts in a gentle way,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_843f4746ef23facb,wrap shadows tight,wrap shadows tight,,To keep something hidden intentionally,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_cb29404e6328b9e6,dance with static,dance with static,,To deal with unpredictable or annoying interruptions,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_2c96922ab0c93bad,breathe the quiet,breathe the quiet,,"To be fully present in a calm, peaceful moment",llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_0b9e748158be4b3c,hang paper hopes,hang paper hopes,,To rely on fragile or insubstantial plans or promises,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_3813e82ddabae367,fold the last light,fold the last light,,To end something with finality or quietly conclude,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_88f234397c151343,dart the quiet glance,dart the quiet glance,,To look briefly but meaningfully at someone,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_8273fbacc0a6a9ba,knit the loose thread,knit the loose thread,,To resolve small lingering problems before they grow,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
