idiom_id,idiom_canonical,idiom_surface,example,idiom_canonical_meaning,source,source_type,pos,tags,idiom_confidence,source_url,record_origin,license_source,example_language,meaning_language
syn_be7a3838be0ab2ad,bite the neon,bite the neon,,to take a bold risk with high visibility,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_addbfe7b808c3e74,freeze the spark,freeze the spark,,to stop a momentum or enthusiasm abruptly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_7846055fabada7fb,ride the paper wave,ride the paper wave,,to profit or succeed by riding a popular trend,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_126af346ffda3fd3,flip the porch light,flip the porch light,,to signal readiness or approval informally,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_b3efb8002e4b82a0,spill neon juice,spill neon juice,,to accidentally reveal secrets or information,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_8b20d2dc9eaa77a8,catch the loose thread,catch the loose thread,,to notice a small detail that could unravel a larger problem,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_3c839f73ee6c600d,dance the quiet buzz,dance the quiet buzz,,to engage subtly in gossip or secret talk,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_39c0cbfc31860bab,skin the morning fog,skin the morning fog,,to get through a confusing or uncertain start,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_2e28305a90113aa3,rack the velvet hammer,rack the velvet hammer,,to apply force delicately but effectively,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_066c7da86dc90641,lock the humming thread,lock the humming thread,,to secure an ongoing secret or intrigue,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_7b4bd6587d8d4134,spill chrome dust,spill chrome dust,,to accidentally leak sensitive digital info,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_876aa2b91ee98d6a,pull the velvet wire,pull the velvet wire,,to subtly influence or manipulate a situation,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_2d5e535cf8614301,trace the slow ember,trace the slow ember,,to follow a faint hope or idea gently,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_267fdeae43a1d2f2,nudge the silent clock,nudge the silent clock,,to provoke an inevitable event carefully,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_84d4568270145b4a,grab the shadow slipper,grab the shadow slipper,,to seize a hidden opportunity quietly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_362a9d207238f4b6,strike the muted chord,strike the muted chord,,to express something indirectly or faintly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_9e157c73070ee52b,launch the paper kite,launch the paper kite,,to start an uncertain or risky endeavor with light resources,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_44d0f21c477e93ae,whisper the cotton wire,whisper the cotton wire,,to convey secret messages gently,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_bdfae5d9345ad91a,surf the hollow wave,surf the hollow wave,,to ride a fleeting or superficial trend,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_acc7e9a92a8be017,flash the broken lens,flash the broken lens,,to reveal a flawed perspective suddenly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_c61f3c14dbdf5b07,pinch the silent flame,pinch the silent flame,,to quietly suppress someone’s enthusiasm or idea,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
